Rank,Title Of Tv Show,IMDb Rating
1, Planet Earth II (2016),9.5
Rank,Title Of Tv Show,IMDb Rating
2, Planet Earth (2006),9.4
Rank,Title Of Tv Show,IMDb Rating
3, Band of Brothers (2001),9.4
Rank,Title Of Tv Show,IMDb Rating
4, Breaking Bad (2008),9.4
Rank,Title Of Tv Show,IMDb Rating
5, Chernobyl (2019),9.4
Rank,Title Of Tv Show,IMDb Rating
6, The Wire (2002),9.3
Rank,Title Of Tv Show,IMDb Rating
7, Blue Planet II (2017),9.3
Rank,Title Of Tv Show,IMDb Rating
8, Our Planet (2019),9.3
Rank,Title Of Tv Show,IMDb Rating
9, Cosmos: A Spacetime Odyssey (2014),9.2
Rank,Title Of Tv Show,IMDb Rating
10, The Last Dance (2020),9.2
Rank,Title Of Tv Show,IMDb Rating
11, Game of Thrones (2011),9.2
Rank,Title Of Tv Show,IMDb Rating
12, Cosmos (1980),9.2
Rank,Title Of Tv Show,IMDb Rating
13, Rick and Morty (2013),9.2
Rank,Title Of Tv Show,IMDb Rating
14, Avatar: The Last Airbender (2005),9.2
Rank,Title Of Tv Show,IMDb Rating
15, The Sopranos (1999),9.2
Rank,Title Of Tv Show,IMDb Rating
16, The World at War (1973),9.1
Rank,Title Of Tv Show,IMDb Rating
17, Life (2009),9.1
Rank,Title Of Tv Show,IMDb Rating
18, Hagane no renkinjutsushi (2009),9.1
Rank,Title Of Tv Show,IMDb Rating
19, Sherlock (2010),9.1
Rank,Title Of Tv Show,IMDb Rating
20, The Vietnam War (2017),9.1
Rank,Title Of Tv Show,IMDb Rating
21, The Twilight Zone (1959),9.0
Rank,Title Of Tv Show,IMDb Rating
22, Sahsiyet (2018),9.0
Rank,Title Of Tv Show,IMDb Rating
23, The Beatles Anthology (1995),9.0
Rank,Title Of Tv Show,IMDb Rating
24, Human Planet (2011),9.0
Rank,Title Of Tv Show,IMDb Rating
25, The Blue Planet (2001),9.0
Rank,Title Of Tv Show,IMDb Rating
26, Batman: The Animated Series (1992),9.0
Rank,Title Of Tv Show,IMDb Rating
27, Firefly (2002),9.0
Rank,Title Of Tv Show,IMDb Rating
28, Frozen Planet (2011),9.0
Rank,Title Of Tv Show,IMDb Rating
29, Dekalog (1989),8.9
Rank,Title Of Tv Show,IMDb Rating
30, True Detective (2014),8.9
Rank,Title Of Tv Show,IMDb Rating
31, The Civil War (1990),8.9
Rank,Title Of Tv Show,IMDb Rating
32, Death Note: Desu nôto (2006),8.9
Rank,Title Of Tv Show,IMDb Rating
33, Fargo (2014),8.9
Rank,Title Of Tv Show,IMDb Rating
34, Apocalypse: La 2ème guerre mondiale (2009),8.9
Rank,Title Of Tv Show,IMDb Rating
35, Kaubôi bibappu (1998),8.9
Rank,Title Of Tv Show,IMDb Rating
36, Ramayan (1987),8.9
Rank,Title Of Tv Show,IMDb Rating
37, Africa (2013),8.9
Rank,Title Of Tv Show,IMDb Rating
38, When They See Us (2019),8.9
Rank,Title Of Tv Show,IMDb Rating
39, Last Week Tonight with John Oliver (2014),8.9
Rank,Title Of Tv Show,IMDb Rating
40, TVF Pitchers (2015),8.9
Rank,Title Of Tv Show,IMDb Rating
41, Only Fools and Horses.... (1981),8.8
Rank,Title Of Tv Show,IMDb Rating
42, Hunter x Hunter (2011),8.8
Rank,Title Of Tv Show,IMDb Rating
43, The Office (2005),8.8
Rank,Title Of Tv Show,IMDb Rating
44, Friends (1994),8.8
Rank,Title Of Tv Show,IMDb Rating
45, Das Boot (1985),8.8
Rank,Title Of Tv Show,IMDb Rating
46, Monty Python's Flying Circus (1969),8.8
Rank,Title Of Tv Show,IMDb Rating
47, Seinfeld (1989),8.8
Rank,Title Of Tv Show,IMDb Rating
48, Gravity Falls (2012),8.8
Rank,Title Of Tv Show,IMDb Rating
49, How the Universe Works (2010),8.8
Rank,Title Of Tv Show,IMDb Rating
50, Pride and Prejudice (1995),8.8
Rank,Title Of Tv Show,IMDb Rating
51, Black Mirror (2011),8.8
Rank,Title Of Tv Show,IMDb Rating
52, Twin Peaks (1990),8.8
Rank,Title Of Tv Show,IMDb Rating
53, Over the Garden Wall (2014),8.8
Rank,Title Of Tv Show,IMDb Rating
54, Nathan for You (2013),8.8
Rank,Title Of Tv Show,IMDb Rating
55, One Punch Man: Wanpanman (2015),8.8
Rank,Title Of Tv Show,IMDb Rating
56, Narcos (2015),8.8
Rank,Title Of Tv Show,IMDb Rating
57, Peaky Blinders (2013),8.7
Rank,Title Of Tv Show,IMDb Rating
58, Blackadder Goes Forth (1989),8.7
Rank,Title Of Tv Show,IMDb Rating
59, Freaks and Geeks (1999),8.7
Rank,Title Of Tv Show,IMDb Rating
60, Fawlty Towers (1975),8.7
Rank,Title Of Tv Show,IMDb Rating
61, Senke nad Balkanom (2017),8.7
Rank,Title Of Tv Show,IMDb Rating
62, Shingeki no kyojin (2013),8.7
Rank,Title Of Tv Show,IMDb Rating
63, Stranger Things (2016),8.7
Rank,Title Of Tv Show,IMDb Rating
64, Chappelle's Show (2003),8.7
Rank,Title Of Tv Show,IMDb Rating
65, It's Always Sunny in Philadelphia (2005),8.7
Rank,Title Of Tv Show,IMDb Rating
66, Arrested Development (2003),8.7
Rank,Title Of Tv Show,IMDb Rating
67, Vratice se rode (2007),8.7
Rank,Title Of Tv Show,IMDb Rating
68, Mahabharat (1988),8.7
Rank,Title Of Tv Show,IMDb Rating
69, Rome (2005),8.7
Rank,Title Of Tv Show,IMDb Rating
70, Dragon Ball Z: Doragon bôru zetto (1989),8.7
Rank,Title Of Tv Show,IMDb Rating
71, Kota Factory (2019),8.7
Rank,Title Of Tv Show,IMDb Rating
72, The West Wing (1999),8.7
Rank,Title Of Tv Show,IMDb Rating
73, Leyla ile Mecnun (2011),8.7
Rank,Title Of Tv Show,IMDb Rating
74, Steins;Gate (2011),8.7
Rank,Title Of Tv Show,IMDb Rating
75, Oz (1997),8.7
Rank,Title Of Tv Show,IMDb Rating
76, Dragon Ball Z (1996),8.7
Rank,Title Of Tv Show,IMDb Rating
77, Still Game (2002),8.7
Rank,Title Of Tv Show,IMDb Rating
78, House of Cards (2013),8.7
Rank,Title Of Tv Show,IMDb Rating
79, Vinland Saga (2019),8.7
Rank,Title Of Tv Show,IMDb Rating
80, Cobra Kai (2018),8.7
Rank,Title Of Tv Show,IMDb Rating
81, Dark (2017),8.7
Rank,Title Of Tv Show,IMDb Rating
82," I, Claudius (1976)",8.7
Rank,Title Of Tv Show,IMDb Rating
83, Better Call Saul (2015),8.7
Rank,Title Of Tv Show,IMDb Rating
84, The Marvelous Mrs. Maisel (2017),8.7
Rank,Title Of Tv Show,IMDb Rating
85, Curb Your Enthusiasm (2000),8.7
Rank,Title Of Tv Show,IMDb Rating
86, One Strange Rock (2018),8.7
Rank,Title Of Tv Show,IMDb Rating
87, Fleabag (2016),8.7
Rank,Title Of Tv Show,IMDb Rating
88, The Boys (2019),8.7
Rank,Title Of Tv Show,IMDb Rating
89, Sarabhai vs Sarabhai (2004),8.7
Rank,Title Of Tv Show,IMDb Rating
90, Westworld (2016),8.7
Rank,Title Of Tv Show,IMDb Rating
91, BoJack Horseman (2014),8.7
Rank,Title Of Tv Show,IMDb Rating
92, The Adventures of Sherlock Holmes (1984),8.7
Rank,Title Of Tv Show,IMDb Rating
93, Justice League Unlimited (2004),8.7
Rank,Title Of Tv Show,IMDb Rating
94, The Jinx: The Life and Deaths of Robert Durst (2015),8.7
Rank,Title Of Tv Show,IMDb Rating
95, Six Feet Under (2001),8.6
Rank,Title Of Tv Show,IMDb Rating
96, The Thick of It (2005),8.6
Rank,Title Of Tv Show,IMDb Rating
97, South Park (1997),8.6
Rank,Title Of Tv Show,IMDb Rating
98, Demon Slayer: Kimetsu No Yaiba (2019),8.6
Rank,Title Of Tv Show,IMDb Rating
99, Yakusoku no Neverland (2019),8.6
Rank,Title Of Tv Show,IMDb Rating
100, The Simpsons (1989),8.6
Rank,Title Of Tv Show,IMDb Rating
101, The Mandalorian (2019),8.6
Rank,Title Of Tv Show,IMDb Rating
102, The Return of Sherlock Holmes (1986),8.6
Rank,Title Of Tv Show,IMDb Rating
103, House M.D. (2004),8.6
Rank,Title Of Tv Show,IMDb Rating
104, Content Cop (2015),8.6
Rank,Title Of Tv Show,IMDb Rating
105, Battlestar Galactica (2004),8.6
Rank,Title Of Tv Show,IMDb Rating
106, One Piece: Wan pîsu (1999),8.6
Rank,Title Of Tv Show,IMDb Rating
107, The Crown (2016),8.6
Rank,Title Of Tv Show,IMDb Rating
108, Top Gear (2002),8.6
Rank,Title Of Tv Show,IMDb Rating
109, Aranyélet (2015),8.6
Rank,Title Of Tv Show,IMDb Rating
110, The Shield (2002),8.6
Rank,Title Of Tv Show,IMDb Rating
111, Critical Role (2015),8.6
Rank,Title Of Tv Show,IMDb Rating
112, The Haunting of Hill House (2018),8.6
Rank,Title Of Tv Show,IMDb Rating
113, This Is Us (2016),8.6
Rank,Title Of Tv Show,IMDb Rating
114, The Grand Tour (2016),8.6
Rank,Title Of Tv Show,IMDb Rating
115, Downton Abbey (2010),8.6
Rank,Title Of Tv Show,IMDb Rating
116, Deadwood (2004),8.6
Rank,Title Of Tv Show,IMDb Rating
117, Lonesome Dove (1989),8.6
Rank,Title Of Tv Show,IMDb Rating
118, Kenpû Denki Berserk (1997),8.6
Rank,Title Of Tv Show,IMDb Rating
119, Pew News (2018),8.6
Rank,Title Of Tv Show,IMDb Rating
120, Priklyucheniya Sherloka Kholmsa i doktora Vatsona: Sobaka Baskerviley (1981),8.6
Rank,Title Of Tv Show,IMDb Rating
121, Bron/Broen (2011),8.6
Rank,Title Of Tv Show,IMDb Rating
122, Blackadder II (1986),8.6
Rank,Title Of Tv Show,IMDb Rating
123, Star Trek: The Next Generation (1987),8.6
Rank,Title Of Tv Show,IMDb Rating
124, Parks and Recreation (2009),8.6
Rank,Title Of Tv Show,IMDb Rating
125, The Memoirs of Sherlock Holmes (1994),8.6
Rank,Title Of Tv Show,IMDb Rating
126, The X Files (1993),8.6
Rank,Title Of Tv Show,IMDb Rating
127, Atlanta (2016),8.6
Rank,Title Of Tv Show,IMDb Rating
128, Battlestar Galactica (2003),8.6
Rank,Title Of Tv Show,IMDb Rating
129, Yeh Meri Family (2018),8.6
Rank,Title Of Tv Show,IMDb Rating
130, Line of Duty (2012),8.6
Rank,Title Of Tv Show,IMDb Rating
131, Archer (2009),8.6
Rank,Title Of Tv Show,IMDb Rating
132, Friday Night Lights (2006),8.6
Rank,Title Of Tv Show,IMDb Rating
133, Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion (2006),8.6
Rank,Title Of Tv Show,IMDb Rating
134, Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen (1999),8.6
Rank,Title Of Tv Show,IMDb Rating
135, Mad Men (2007),8.6
Rank,Title Of Tv Show,IMDb Rating
136, Young Justice (2010),8.6
Rank,Title Of Tv Show,IMDb Rating
137, Gomorra: La serie (2014),8.6
Rank,Title Of Tv Show,IMDb Rating
138, Dexter (2006),8.6
Rank,Title Of Tv Show,IMDb Rating
139, Blackadder the Third (1987),8.6
Rank,Title Of Tv Show,IMDb Rating
140, Through the Wormhole (2010),8.6
Rank,Title Of Tv Show,IMDb Rating
141, Sa-rang-eui bul-sa-chak (2019),8.6
Rank,Title Of Tv Show,IMDb Rating
142, Daredevil (2015),8.6
Rank,Title Of Tv Show,IMDb Rating
143, The Bugs Bunny Show (1960),8.6
Rank,Title Of Tv Show,IMDb Rating
144, Mindhunter (2017),8.6
Rank,Title Of Tv Show,IMDb Rating
145, QI (2003),8.6
Rank,Title Of Tv Show,IMDb Rating
146, The Eric Andre Show (2012),8.6
Rank,Title Of Tv Show,IMDb Rating
147, Normal People (2020),8.6
Rank,Title Of Tv Show,IMDb Rating
148, Peep Show (2003),8.6
Rank,Title Of Tv Show,IMDb Rating
149, Long Way Round (2004),8.6
Rank,Title Of Tv Show,IMDb Rating
150, Making a Murderer (2015),8.6
Rank,Title Of Tv Show,IMDb Rating
151, MisteRogers' Neighborhood (1968),8.6
Rank,Title Of Tv Show,IMDb Rating
152, Father Ted (1995),8.6
Rank,Title Of Tv Show,IMDb Rating
153, Mind Your Language (1977),8.6
Rank,Title Of Tv Show,IMDb Rating
154, North & South (2004),8.6
Rank,Title Of Tv Show,IMDb Rating
155, Formula 1: Drive to Survive (2019),8.5
Rank,Title Of Tv Show,IMDb Rating
156, Ikinci Bahar (1998),8.5
Rank,Title Of Tv Show,IMDb Rating
157, The Newsroom (2012),8.5
Rank,Title Of Tv Show,IMDb Rating
158, Yes Minister (1980),8.5
Rank,Title Of Tv Show,IMDb Rating
159, Monster (2004),8.5
Rank,Title Of Tv Show,IMDb Rating
160, Spaced (1999),8.5
Rank,Title Of Tv Show,IMDb Rating
161, Panchayat (2020),8.5
Rank,Title Of Tv Show,IMDb Rating
162, Behzat Ç.: Bir Ankara Polisiyesi (2010),8.5
Rank,Title Of Tv Show,IMDb Rating
163, Umbre (2014),8.5
Rank,Title Of Tv Show,IMDb Rating
164, Haikyuu!! (2014),8.5
Rank,Title Of Tv Show,IMDb Rating
165, El Chavo del Ocho (1972),8.5
Rank,Title Of Tv Show,IMDb Rating
166, Skam (2015),8.5
Rank,Title Of Tv Show,IMDb Rating
167, Brass Eye (1997),8.5
Rank,Title Of Tv Show,IMDb Rating
168, Poirot (1989),8.5
Rank,Title Of Tv Show,IMDb Rating
169, Anne (2017),8.5
Rank,Title Of Tv Show,IMDb Rating
170, Le Bureau des Légendes (2015),8.5
Rank,Title Of Tv Show,IMDb Rating
171, Justified (2010),8.5
Rank,Title Of Tv Show,IMDb Rating
172, Sacred Games (2018),8.5
Rank,Title Of Tv Show,IMDb Rating
173, Dragon Ball: Doragon bôru (1986),8.5
Rank,Title Of Tv Show,IMDb Rating
174, Satyamev Jayate (2012),8.5
Rank,Title Of Tv Show,IMDb Rating
175, Hagane no renkinjutsushi (2003),8.5
Rank,Title Of Tv Show,IMDb Rating
176, Justice League (2001),8.5
Rank,Title Of Tv Show,IMDb Rating
177, Shameless (2011),8.5
Rank,Title Of Tv Show,IMDb Rating
178, Shin Seiki Evangelion (1995),8.5
Rank,Title Of Tv Show,IMDb Rating
179, From the Earth to the Moon (1998),8.5
Rank,Title Of Tv Show,IMDb Rating
180, Boardwalk Empire (2010),8.5
Rank,Title Of Tv Show,IMDb Rating
181, Adventure Time with Finn & Jake (2010),8.5
Rank,Title Of Tv Show,IMDb Rating
182, Doctor Who (2005),8.5
Rank,Title Of Tv Show,IMDb Rating
183, The Bugs Bunny/Road Runner Hour (1968),8.5
Rank,Title Of Tv Show,IMDb Rating
184, Dragon Ball (1995),8.5
Rank,Title Of Tv Show,IMDb Rating
185," Love, Death & Robots (2019)",8.5
Rank,Title Of Tv Show,IMDb Rating
186, Samurai chanpurû (2004),8.5
Rank,Title Of Tv Show,IMDb Rating
187," Yes, Prime Minister (1986)",8.5
Rank,Title Of Tv Show,IMDb Rating
188, Flight of the Conchords (2007),8.5
Rank,Title Of Tv Show,IMDb Rating
189, The Untold History of the United States (2012),8.5
Rank,Title Of Tv Show,IMDb Rating
190, Twin Peaks (2017),8.5
Rank,Title Of Tv Show,IMDb Rating
191, Mystery Science Theater 3000 (1988),8.5
Rank,Title Of Tv Show,IMDb Rating
192, Chef's Table (2015),8.5
Rank,Title Of Tv Show,IMDb Rating
193, Mr. Bean (1990),8.5
Rank,Title Of Tv Show,IMDb Rating
194, GTO (1999),8.5
Rank,Title Of Tv Show,IMDb Rating
195, Meme Review (2017),8.5
Rank,Title Of Tv Show,IMDb Rating
196, Generation Kill (2008),8.5
Rank,Title Of Tv Show,IMDb Rating
197, Coupling (2000),8.5
Rank,Title Of Tv Show,IMDb Rating
198, The IT Crowd (2006),8.5
Rank,Title Of Tv Show,IMDb Rating
199, The Defiant Ones (2017),8.5
Rank,Title Of Tv Show,IMDb Rating
200, Louie (2010),8.5
Rank,Title Of Tv Show,IMDb Rating
201, The Night Of (2016),8.5
Rank,Title Of Tv Show,IMDb Rating
202, Alfred Hitchcock Presents (1955),8.5
Rank,Title Of Tv Show,IMDb Rating
203, Impractical Jokers (2011),8.5
Rank,Title Of Tv Show,IMDb Rating
204, Mr. Robot (2015),8.5
Rank,Title Of Tv Show,IMDb Rating
205, Big Little Lies (2017),8.5
Rank,Title Of Tv Show,IMDb Rating
206, Endeavour (2012),8.5
Rank,Title Of Tv Show,IMDb Rating
207, Silicon Valley (2014),8.5
Rank,Title Of Tv Show,IMDb Rating
208, Letterkenny (2016),8.5
Rank,Title Of Tv Show,IMDb Rating
209, Detectorists (2014),8.5
Rank,Title Of Tv Show,IMDb Rating
210, Homicide: Life on the Street (1993),8.5
Rank,Title Of Tv Show,IMDb Rating
211, Whose Line Is It Anyway? (1998),8.5
Rank,Title Of Tv Show,IMDb Rating
212, Spartacus: Gods of the Arena (2011),8.5
Rank,Title Of Tv Show,IMDb Rating
213, Horace and Pete (2016),8.5
Rank,Title Of Tv Show,IMDb Rating
214, Hannibal (2013),8.5
Rank,Title Of Tv Show,IMDb Rating
215, The Office (2001),8.5
Rank,Title Of Tv Show,IMDb Rating
216, Pose (2018),8.5
Rank,Title Of Tv Show,IMDb Rating
217, I'm Alan Partridge (1997),8.5
Rank,Title Of Tv Show,IMDb Rating
218, Black Books (2000),8.5
Rank,Title Of Tv Show,IMDb Rating
219, John Adams (2008),8.5
Rank,Title Of Tv Show,IMDb Rating
220, The Punisher (2017),8.5
Rank,Title Of Tv Show,IMDb Rating
221, Sons of Anarchy (2008),8.5
Rank,Title Of Tv Show,IMDb Rating
222, Naruto: Shippûden (2007),8.5
Rank,Title Of Tv Show,IMDb Rating
223, The New Batman Adventures (1997),8.5
Rank,Title Of Tv Show,IMDb Rating
224, Shigatsu wa kimi no uso (2014),8.5
Rank,Title Of Tv Show,IMDb Rating
225, Boku dake ga inai machi (2016),8.5
Rank,Title Of Tv Show,IMDb Rating
226, Succession (2018),8.5
Rank,Title Of Tv Show,IMDb Rating
227, Spartacus: Blood and Sand (2010),8.5
Rank,Title Of Tv Show,IMDb Rating
228, Dr. Horrible's Sing-Along Blog (2008),8.5
Rank,Title Of Tv Show,IMDb Rating
229, Vikings (2013),8.5
Rank,Title Of Tv Show,IMDb Rating
230, Gintama (2005),8.4
Rank,Title Of Tv Show,IMDb Rating
231, Boku no hîrô akademia (2016),8.4
Rank,Title Of Tv Show,IMDb Rating
232, Community (2009),8.4
Rank,Title Of Tv Show,IMDb Rating
233, Mob Psycho 100 (2016),8.4
Rank,Title Of Tv Show,IMDb Rating
234, Romanzo criminale - La serie (2008),8.4
Rank,Title Of Tv Show,IMDb Rating
235, Queer Eye (2018),8.4
Rank,Title Of Tv Show,IMDb Rating
236, Feud (2017),8.4
Rank,Title Of Tv Show,IMDb Rating
237, Luther (2010),8.4
Rank,Title Of Tv Show,IMDb Rating
238, The Family Man (2019),8.4
Rank,Title Of Tv Show,IMDb Rating
239, The Knick (2014),8.4
Rank,Title Of Tv Show,IMDb Rating
240, Clannad: After Story (2008),8.4
Rank,Title Of Tv Show,IMDb Rating
241, The Venture Bros. (2003),8.4
Rank,Title Of Tv Show,IMDb Rating
242, Kôkaku kidôtai: Stand Alone Complex (2002),8.4
Rank,Title Of Tv Show,IMDb Rating
243, Sseulsseulhago Chalranhashin: Dokkaebi (2016),8.4
Rank,Title Of Tv Show,IMDb Rating
244, Ezel (2009),8.4
Rank,Title Of Tv Show,IMDb Rating
245, L'amica geniale (2018),8.4
Rank,Title Of Tv Show,IMDb Rating
246, Rurôni Kenshin - Meiji kenkaku romantan (1996),8.4
Rank,Title Of Tv Show,IMDb Rating
247, Samurai Jack (2001),8.4
Rank,Title Of Tv Show,IMDb Rating
248," Unsere Mütter, unsere Väter (2013)",8.4
Rank,Title Of Tv Show,IMDb Rating
249, Delhi Crime (2019),8.4
Rank,Title Of Tv Show,IMDb Rating
250, The Dark Crystal: Age of Resistance (2019),8.4
